bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,is_suspicious
4579,7725,2024-04-25T11:44:36Z,2024-04-25T12:39:42Z,179.3.248.105,JP,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T11:44:36Z,None,0
3113,506,2024-04-25T09:56:08Z,2024-04-25T10:40:12Z,231.49.42.232,BR,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T09:56:08Z,None,0
6048,4207,2024-04-25T18:45:03Z,2024-04-25T19:34:14Z,222.40.111.191,JP,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T18:45:03Z,None,0
12642,2658,2024-04-25T09:35:34Z,2024-04-25T10:29:48Z,95.98.9.187,CN,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T09:35:34Z,None,0
2024,1617,2024-04-25T08:44:26Z,2024-04-25T09:03:56Z,180.35.226.36,IN,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T08:44:26Z,None,0
4425,4873,2024-04-25T20:09:58Z,2024-04-25T20:40:24Z,104.232.246.55,JP,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:09:58Z,None,0
942,17989,2024-04-25T15:57:55Z,2024-04-25T16:54:02Z,217.222.26.39,IN,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T15:57:55Z,None,0
3742,1137,2024-04-25T10:49:10Z,2024-04-25T11:36:51Z,228.154.13.168,JP,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T10:49:10Z,None,0
1519,5923,2024-04-25T21:41:44Z,2024-04-25T22:33:38Z,95.123.89.187,BR,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:41:44Z,None,0
4917,945,2024-04-25T06:11:23Z,2024-04-25T06:55:12Z,161.204.3.99,FR,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T06:11:23Z,None,0
2715,891,2024-04-25T19:46:58Z,2024-04-25T20:00:45Z,124.6.202.64,IN,HTTPS,404,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T19:46:58Z,None,0
3782,2391,2024-04-25T11:18:58Z,2024-04-25T11:42:15Z,154.53.100.234,BR,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T11:18:58Z,None,0
460,35749,2024-04-25T03:04:01Z,2024-04-25T03:07:43Z,33.230.166.153,BR,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T03:04:01Z,None,0
856,15195,2024-04-25T19:47:05Z,2024-04-25T20:14:10Z,188.5.159.169,CN,SMTP,500,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T19:47:05Z,None,0
138,17791,2024-04-25T17:43:47Z,2024-04-25T18:32:23Z,185.149.203.24,BR,HTTPS,500,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T17:43:47Z,None,0
14124,3408,2024-04-25T12:43:10Z,2024-04-25T12:45:03Z,136.194.142.203,DE,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T12:43:10Z,None,0
6023,4121,2024-04-25T22:51:10Z,2024-04-25T23:44:00Z,136.71.88.244,GB,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T22:51:10Z,None,0
1080,21021,2024-04-25T19:39:48Z,2024-04-25T20:18:21Z,6.62.135.222,US,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T19:39:48Z,None,0
1492,1802,2024-04-25T07:21:15Z,2024-04-25T07:51:43Z,228.151.252.36,BR,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T07:21:15Z,None,0
146,6756,2024-04-25T01:36:44Z,2024-04-25T02:07:54Z,223.243.153.222,FR,SSH,404,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:36:44Z,None,0
7,897,2024-04-25T23:26:34Z,2024-04-26T00:11:38Z,182.58.104.114,CN,SMTP,404,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T23:26:34Z,None,0
17728,11669,2024-04-25T01:14:19Z,2024-04-25T01:54:52Z,221.224.4.209,GB,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:14:19Z,None,0
316,7495,2024-04-25T00:24:11Z,2024-04-25T01:13:51Z,72.149.55.33,JP,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T00:24:11Z,None,0
797,13323,2024-04-25T02:27:58Z,2024-04-25T02:30:04Z,194.234.220.31,BR,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T02:27:58Z,None,0
4274,7751,2024-04-25T10:01:00Z,2024-04-25T10:01:06Z,133.251.69.138,GB,SSH,500,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T10:01:00Z,None,0
17769,20315,2024-04-25T08:17:10Z,2024-04-25T08:19:23Z,248.81.48.89,IN,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T08:17:10Z,None,0
20989,5764,2024-04-25T05:53:51Z,2024-04-25T05:59:14Z,54.62.106.37,BR,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T05:53:51Z,None,0
4897,5813,2024-04-25T16:14:01Z,2024-04-25T16:21:36Z,229.48.187.10,BR,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T16:14:01Z,None,0
4926,11570,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,1
16948,20348,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,1
7603,2508,2024-04-25T21:02:12Z,2024-04-25T21:38:26Z,17.202.214.63,FR,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:02:12Z,None,0
3077,1058,2024-04-25T03:30:30Z,2024-04-25T04:07:46Z,254.77.44.81,GB,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T03:30:30Z,None,0
2025,6886,2024-04-25T21:02:19Z,2024-04-25T21:39:37Z,76.147.247.212,JP,HTTP,404,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:02:19Z,None,0
1875,21422,2024-04-25T02:11:55Z,2024-04-25T02:30:25Z,229.231.14.116,CN,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T02:11:55Z,None,0
3681,3848,2024-04-25T14:52:25Z,2024-04-25T15:30:45Z,20.156.237.101,CN,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T14:52:25Z,None,0
3622,2111,2024-04-25T19:24:18Z,2024-04-25T20:09:56Z,117.104.229.29,DE,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T19:24:18Z,None,0
11292,9242,2024-04-25T20:10:15Z,2024-04-25T20:24:45Z,254.190.54.246,IN,SSH,500,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:10:15Z,None,0
29556,3166,2024-04-25T05:17:06Z,2024-04-25T05:56:17Z,170.96.225.94,JP,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T05:17:06Z,None,0
10198,8523,2024-04-25T12:32:12Z,2024-04-25T12:58:37Z,167.141.211.190,FR,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T12:32:12Z,None,0
7826,9320,2024-04-25T23:03:29Z,2024-04-25T23:06:57Z,50.181.234.84,GB,SSH,301,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T23:03:29Z,None,0
921,2455,2024-04-25T12:44:02Z,2024-04-25T12:57:45Z,26.60.17.5,BR,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T12:44:02Z,None,0
7205,3010,2024-04-25T02:06:23Z,2024-04-25T02:50:37Z,122.209.111.118,FR,SSH,500,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T02:06:23Z,None,0
16154,2593,2024-04-25T05:02:50Z,2024-04-25T05:43:05Z,222.168.35.95,DE,HTTPS,500,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T05:02:50Z,None,0
8202,6068,2024-04-26T08:00:00Z,2024-04-26T08:10:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T08:00:00Z,waf_rule,1
10542,9735,2024-04-25T01:55:35Z,2024-04-25T02:12:27Z,75.87.251.86,US,SMTP,500,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:55:35Z,None,0
278,8621,2024-04-25T04:49:00Z,2024-04-25T04:57:33Z,81.233.221.18,FR,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T04:49:00Z,None,0
2057,18833,2024-04-25T05:45:22Z,2024-04-25T06:13:49Z,12.138.35.55,BR,HTTP,404,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T05:45:22Z,None,0
6987,8362,2024-04-25T12:01:44Z,2024-04-25T12:26:00Z,235.189.249.92,IN,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T12:01:44Z,None,0
805,522,2024-04-25T11:37:39Z,2024-04-25T11:44:10Z,4.144.193.69,DE,SSH,301,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T11:37:39Z,None,0
1827,6314,2024-04-25T16:20:13Z,2024-04-25T16:56:24Z,237.191.66.111,BR,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T16:20:13Z,None,0
29308,15652,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,1
146,15785,2024-04-25T02:03:49Z,2024-04-25T02:08:21Z,16.68.125.241,BR,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T02:03:49Z,None,0
364,5955,2024-04-25T01:24:01Z,2024-04-25T02:18:58Z,41.26.219.13,BR,SMTP,404,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:24:01Z,None,0
9688,14411,2024-04-25T18:46:50Z,2024-04-25T19:35:27Z,210.177.84.248,CN,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T18:46:50Z,None,0
3964,1632,2024-04-25T14:06:01Z,2024-04-25T14:11:31Z,95.252.223.130,US,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T14:06:01Z,None,0
508,6101,2024-04-25T22:14:01Z,2024-04-25T22:48:09Z,192.14.44.227,CN,HTTP,404,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T22:14:01Z,None,0
105,9483,2024-04-25T11:51:40Z,2024-04-25T12:15:52Z,203.92.171.29,IN,SMTP,301,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T11:51:40Z,None,0
4018,3144,2024-04-26T00:30:00Z,2024-04-26T00:40:00Z,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:30:00Z,waf_rule,1
48614,25178,2024-04-26T09:00:00Z,2024-04-26T09:10:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T09:00:00Z,waf_rule,1
12826,1864,2024-04-25T21:34:38Z,2024-04-25T22:05:47Z,198.162.251.206,CN,HTTPS,500,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:34:38Z,None,0
12972,2412,2024-04-25T09:21:54Z,2024-04-25T10:15:13Z,19.203.81.211,DE,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T09:21:54Z,None,0
3095,4674,2024-04-25T15:10:08Z,2024-04-25T15:43:24Z,144.212.138.221,DE,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T15:10:08Z,None,0
392,11239,2024-04-25T15:51:53Z,2024-04-25T16:39:26Z,234.131.144.155,GB,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T15:51:53Z,None,0
4691,16457,2024-04-25T18:37:04Z,2024-04-25T19:05:43Z,148.97.86.191,FR,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T18:37:04Z,None,0
4674,3327,2024-04-25T04:02:43Z,2024-04-25T05:02:19Z,155.113.227.30,US,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T04:02:43Z,None,0
5675,6194,2024-04-25T11:23:48Z,2024-04-25T12:13:05Z,49.219.206.182,US,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T11:23:48Z,None,0
10697,2431,2024-04-25T01:40:26Z,2024-04-25T01:48:07Z,89.18.91.30,US,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:40:26Z,None,0
2836,9075,2024-04-25T04:09:57Z,2024-04-25T04:50:04Z,84.241.88.111,CN,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T04:09:57Z,None,0
2855,4439,2024-04-25T12:15:34Z,2024-04-25T12:41:19Z,63.205.181.134,CN,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T12:15:34Z,None,0
8807,3794,2024-04-25T01:26:45Z,2024-04-25T02:08:49Z,164.241.237.54,US,SMTP,301,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:26:45Z,None,0
9241,26486,2024-04-25T23:45:52Z,2024-04-26T00:06:58Z,17.154.61.84,FR,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T23:45:52Z,None,0
4466,6228,2024-04-25T10:53:43Z,2024-04-25T10:53:54Z,233.136.163.119,JP,SMTP,500,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T10:53:43Z,None,0
2179,10897,2024-04-25T13:31:50Z,2024-04-25T13:40:10Z,149.86.136.211,BR,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T13:31:50Z,None,0
5841,9996,2024-04-25T04:58:29Z,2024-04-25T05:47:55Z,220.78.72.42,IN,HTTP,301,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T04:58:29Z,None,0
749,37652,2024-04-25T02:54:53Z,2024-04-25T02:55:22Z,93.34.89.199,JP,SSH,404,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T02:54:53Z,None,0
1432,1081,2024-04-25T05:27:52Z,2024-04-25T06:04:49Z,212.70.160.125,FR,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T05:27:52Z,None,0
7708,1008,2024-04-25T07:30:37Z,2024-04-25T08:27:53Z,211.51.226.136,US,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T07:30:37Z,None,0
2022,18337,2024-04-25T23:25:23Z,2024-04-25T23:40:55Z,83.84.102.159,GB,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T23:25:23Z,None,0
5140,4294,2024-04-26T01:50:00Z,2024-04-26T02:00:00Z,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T01:50:00Z,waf_rule,1
5705,10723,2024-04-25T21:27:02Z,2024-04-25T22:13:48Z,152.139.155.214,DE,SSH,500,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:27:02Z,None,0
458,9019,2024-04-25T15:40:06Z,2024-04-25T15:40:49Z,158.19.174.12,IN,SMTP,404,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T15:40:06Z,None,0
1011,17236,2024-04-25T01:53:08Z,2024-04-25T02:29:15Z,1.88.244.211,BR,HTTP,301,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:53:08Z,None,0
6794,17830,2024-04-25T08:53:17Z,2024-04-25T09:22:10Z,47.96.126.156,US,HTTPS,404,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T08:53:17Z,None,0
3553,5546,2024-04-25T19:57:02Z,2024-04-25T20:44:31Z,227.23.83.16,US,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T19:57:02Z,None,0
2708,498,2024-04-25T03:00:18Z,2024-04-25T03:29:02Z,73.158.201.207,GB,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T03:00:18Z,None,0
9600,22230,2024-04-26T00:20:00Z,2024-04-26T00:30:00Z,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:20:00Z,waf_rule,1
766,29651,2024-04-25T21:09:29Z,2024-04-25T21:48:31Z,113.191.9.133,CN,SSH,500,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:09:29Z,None,0
3436,6907,2024-04-25T20:50:57Z,2024-04-25T21:34:36Z,167.8.37.147,US,SMTP,301,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:50:57Z,None,0
7136,6473,2024-04-25T02:33:43Z,2024-04-25T02:49:45Z,248.185.245.149,CN,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T02:33:43Z,None,0
8731,3866,2024-04-25T20:21:11Z,2024-04-25T20:27:11Z,209.214.245.61,FR,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:21:11Z,None,0
17582,8965,2024-04-25T09:13:05Z,2024-04-25T09:52:15Z,8.143.47.246,JP,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T09:13:05Z,None,0
18231909,1116695,2024-04-26T09:20:00Z,2024-04-26T09:30:00Z,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T09:20:00Z,waf_rule,1
2549,14724,2024-04-25T08:56:13Z,2024-04-25T09:10:12Z,36.53.152.65,FR,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T08:56:13Z,None,0
3886,1154,2024-04-25T14:59:04Z,2024-04-25T15:02:45Z,63.96.46.223,FR,HTTPS,404,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T14:59:04Z,None,0
6146,2604,2024-04-25T07:53:42Z,2024-04-25T08:40:04Z,44.146.68.159,BR,HTTP,301,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T07:53:42Z,None,0
280,2838,2024-04-25T13:22:35Z,2024-04-25T14:02:43Z,200.163.177.124,US,SMTP,500,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T13:22:35Z,None,0
4154,19481,2024-04-25T07:09:14Z,2024-04-25T07:13:22Z,17.163.98.194,FR,SMTP,200,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T07:09:14Z,None,0
2136,17218,2024-04-25T07:33:00Z,2024-04-25T07:52:42Z,193.118.182.194,IN,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T07:33:00Z,None,0
2517,5104,2024-04-25T04:52:49Z,2024-04-25T05:26:35Z,184.92.14.253,FR,SMTP,301,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T04:52:49Z,None,0
9460,1831,2024-04-25T03:30:43Z,2024-04-25T04:27:28Z,205.210.205.131,GB,HTTPS,404,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T03:30:43Z,None,0
4209,3656,2024-04-25T18:00:25Z,2024-04-25T18:27:03Z,73.64.103.210,CN,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T18:00:25Z,None,0
233,2877,2024-04-25T12:07:55Z,2024-04-25T12:48:44Z,202.99.25.24,JP,HTTP,404,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T12:07:55Z,None,0
3949,5966,2024-04-25T10:24:45Z,2024-04-25T10:29:20Z,34.146.89.180,CN,SMTP,404,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T10:24:45Z,None,0
670,1922,2024-04-25T01:17:12Z,2024-04-25T01:28:43Z,128.221.74.40,JP,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:17:12Z,None,0
5518,12114,2024-04-26T09:00:00Z,2024-04-26T09:10:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T09:00:00Z,waf_rule,1
19626,3650,2024-04-25T20:00:49Z,2024-04-25T20:48:20Z,181.33.121.137,GB,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:00:49Z,None,0
6549,4950,2024-04-25T20:46:05Z,2024-04-25T21:09:06Z,230.124.72.220,BR,HTTPS,500,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:46:05Z,None,0
